Attribute,Value
Scientific Name,Hydrosaltator amictus
Common Names,"Volcanic Spring Tick, Sulfur Spring Tick"
Size,About 0.8 mm
Normal Jump Distance,About 30 mm (3 cm)
Normal Jump Body Lengths,37.5
Total Cell Count,1400
Body Appearance,"Elongated fuzzy, glowing body with a pressure-sensitive inner bladder"
Legs,"Short articulated limbs for scuttling and hydraulic leaping"
Head,"Furry mustache-like palps for sensing and self-grooming"
Grooming System,"Palps comb mineral dust and sulfur residue from the face valves"
Cellular Structure,"Partially Eutelic (Fixed brain/valves, regenerative outer shell)"
Habitat Range,"Deep-sea hydrothermal vents (2,500m to 4,960m depth)"
Lifespan,1-2 years active (Centuries in Tun State)
Optimal Temp,50C to 85C
Cryptobiotic Trigger,Below 40C
Revival Trigger,Above 60C
Lethal Limit,Above 110C
Symbiont Slime,Gelatinicollum vulcanum
Symbiont Archaea,Sulfuribacillus thermophilus (Emberspit Microbe)
Symbiont Protocist,Saccharoplasma lentus (Sugar-Silk Protist)
Archaea Harvester Profile,Sulfuribacillus_thermophilus_Emberspit_Microbe.md
Protocist Refiner Profile,Saccharoplasma_lentus_Sugar_Silk_Protist.md
Scientific Diagram,Hydrosaltator_amictus_Scientific_Diagram.png
Social Reaction - Ignore,Passes low-value neighbors without signal exchange
Social Reaction - Mate,Compatible colonies braid valve filaments and trade shell-building cells for one vent cycle
Social Reaction - Rob Matrix Housing,Peels away and relocates Sugar-Silk-produced matrix gel when the matrix is under-defended
Matrix Creator,Saccharoplasma lentus (Sugar-Silk Protist); the matrix is not a species
Core Symbiosis,Sugar-Silk Protist; Emberspit Microbe; Volcanic Spring Tick
Pre-Wash Brine,65%
Pre-Wash Solvent,20%
Pre-Wash Acid,14%
Pre-Wash Gas,1%
Blast Vent Brine,75%
Blast Vent Acid,15%
Blast Vent Solvent,8%
Blast Vent Gas,2%
