Attribute,Value
Scientific Name,Thanatovibrio umbracaris
Common Names,"Graveglass Microbe, Black Choir"
Size,2.4 micrometers (active filament)
Colony Form,Threadlike mats with a brittle obsidian-colored silica sheath
Cellular Structure,Distributed colony intelligence; no permanent central organelle
Habitat,Abandoned hydrothermal-vent tunnels and lightless brine pockets
Active Temperature,4-18 degrees C
Dormancy Trigger,Above 22 degrees C or sudden bright light
Lethal Limit,Sustained exposure above 41 degrees C
Movement,Follows vibration through rock and metal
Signature,A low harmonic clicking that appears to answer nearby sounds
Threat 1,Echo mimicry
Threat 2,Silica bloom
Threat 3,Colony memory
Threat 4,Light aversion
Containment Lore,BLACK CHOIR - DO NOT ANSWER
